epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2953.84,0.75433,3.21355,1.29171,0.50985,0.46122,0.43624,0.32219,0.80199,2.99274,1.36564,0.000174157,0.000174157,0.000174157
2,3918.18,0.81795,2.31127,1.33073,0.55045,0.54192,0.55989,0.37964,0.92989,3.03193,1.47201,0.00034257,0.00034257,0.00034257
3,4842.15,0.85238,2.12097,1.3445,0.69342,0.47785,0.56196,0.3833,0.91567,2.71106,1.52114,0.00050404,0.00050404,0.00050404
4,5758.87,0.86089,1.946,1.34047,0.51263,0.52853,0.54488,0.3798,0.97092,2.48331,1.53214,0.000494756,0.000494756,0.000494756
5,6936.23,0.83002,1.79882,1.32186,0.56762,0.61618,0.63127,0.44127,0.95453,2.26252,1.49149,0.000484341,0.000484341,0.000484341
6,7872.98,0.82156,1.72013,1.32211,0.65529,0.67258,0.72004,0.53249,0.87673,1.83127,1.42616,0.000473926,0.000473926,0.000473926
7,8775.54,0.80381,1.63733,1.30684,0.62066,0.62504,0.67719,0.49264,0.85831,1.92107,1.41462,0.000463511,0.000463511,0.000463511
8,9670.8,0.79225,1.52292,1.28978,0.63344,0.6825,0.71123,0.52779,0.87359,1.68377,1.42054,0.000453096,0.000453096,0.000453096
9,10565.6,0.7967,1.4682,1.28053,0.68857,0.7009,0.74125,0.53249,0.91639,1.5514,1.44032,0.000442682,0.000442682,0.000442682
10,11474.3,0.76605,1.39515,1.2644,0.69734,0.74429,0.77971,0.57365,0.90995,1.43918,1.44279,0.000432267,0.000432267,0.000432267
11,12627.4,0.76038,1.33538,1.25889,0.79077,0.68771,0.8125,0.59998,0.86072,1.35962,1.39847,0.000421852,0.000421852,0.000421852
12,13802,0.74846,1.30213,1.25343,0.74383,0.74048,0.80311,0.60135,0.82934,1.35196,1.37513,0.000411437,0.000411437,0.000411437
13,14959.6,0.73402,1.24953,1.24062,0.78475,0.7279,0.80295,0.59738,0.84602,1.27126,1.38442,0.000401022,0.000401022,0.000401022
14,16124.7,0.73698,1.24665,1.25126,0.79559,0.73384,0.82674,0.63461,0.80487,1.19469,1.33609,0.000390608,0.000390608,0.000390608
15,17277,0.71502,1.17868,1.22618,0.77315,0.79842,0.82313,0.62886,0.81594,1.13684,1.34754,0.000380193,0.000380193,0.000380193
16,18585,0.73012,1.16843,1.24168,0.76686,0.82238,0.84168,0.6556,0.79056,1.07779,1.30786,0.000369778,0.000369778,0.000369778
17,65894,0.71369,1.13123,1.22987,0.81348,0.79856,0.85157,0.65912,0.80348,1.06785,1.33609,0.000359363,0.000359363,0.000359363
18,66958.1,0.71265,1.115,1.22809,0.84462,0.7566,0.83997,0.65432,0.78801,1.05069,1.31019,0.000348948,0.000348948,0.000348948
19,68129.5,0.6867,1.08716,1.20883,0.78876,0.818,0.85934,0.67898,0.76242,0.99883,1.29589,0.000338534,0.000338534,0.000338534
20,69296.6,0.68895,1.05977,1.20517,0.84101,0.78251,0.84565,0.65518,0.7744,1.01575,1.31645,0.000328119,0.000328119,0.000328119
21,70439,0.68336,1.03516,1.20399,0.82369,0.78737,0.86207,0.67093,0.78827,0.993,1.3273,0.000317704,0.000317704,0.000317704
22,71698.4,0.66392,1.01146,1.19389,0.84499,0.78646,0.85986,0.68434,0.75444,0.95221,1.30561,0.000307289,0.000307289,0.000307289
23,72937.8,0.6883,0.99239,1.20595,0.82613,0.7814,0.85299,0.66929,0.75688,0.98322,1.29735,0.000296874,0.000296874,0.000296874
24,74096.2,0.65271,0.9703,1.18823,0.83957,0.78034,0.86819,0.6844,0.77161,0.9353,1.30569,0.00028646,0.00028646,0.00028646
25,75250.9,0.65786,0.93205,1.19335,0.83727,0.80452,0.86853,0.69345,0.75834,0.89926,1.30114,0.000276045,0.000276045,0.000276045
26,76526.1,0.65278,0.92266,1.18034,0.87637,0.79517,0.88915,0.72438,0.71298,0.83764,1.24477,0.00026563,0.00026563,0.00026563
27,78228.4,0.63108,0.91129,1.17222,0.89307,0.75163,0.87841,0.70882,0.73555,0.8582,1.28215,0.000255215,0.000255215,0.000255215
28,79689.8,0.645,0.90294,1.17332,0.86311,0.82839,0.88594,0.71559,0.7169,0.83949,1.27037,0.0002448,0.0002448,0.0002448
29,80942.3,0.63185,0.87188,1.17095,0.8631,0.85833,0.89859,0.71925,0.74315,0.79156,1.28317,0.000234386,0.000234386,0.000234386
30,82132.9,0.62971,0.87227,1.1718,0.84529,0.81074,0.88558,0.70889,0.74417,0.81646,1.28924,0.000223971,0.000223971,0.000223971
31,83335.5,0.61797,0.8446,1.16048,0.84446,0.82466,0.88152,0.71856,0.72613,0.83714,1.25532,0.000213556,0.000213556,0.000213556
32,84512.7,0.60699,0.81935,1.15376,0.87668,0.79862,0.89474,0.72876,0.71443,0.77057,1.25179,0.000203141,0.000203141,0.000203141
33,85678.2,0.59844,0.79784,1.14503,0.87024,0.8389,0.90076,0.72423,0.725,0.77355,1.27263,0.000192726,0.000192726,0.000192726
34,86843.6,0.60242,0.79742,1.14739,0.82549,0.82354,0.87125,0.7092,0.70277,0.8065,1.23899,0.000182312,0.000182312,0.000182312
35,87985.2,0.58899,0.78651,1.1427,0.85287,0.83398,0.89451,0.72216,0.70424,0.76498,1.24734,0.000171897,0.000171897,0.000171897
36,89546.3,0.59989,0.76244,1.14303,0.84685,0.82425,0.88477,0.71983,0.71551,0.79097,1.2549,0.000161482,0.000161482,0.000161482
37,90707.7,0.57685,0.7434,1.13091,0.85498,0.84433,0.89291,0.72998,0.6901,0.76239,1.23141,0.000151067,0.000151067,0.000151067
38,91853.8,0.57483,0.7213,1.12761,0.87038,0.83944,0.89136,0.72796,0.70123,0.73935,1.24225,0.000140652,0.000140652,0.000140652
39,93092,0.56465,0.73197,1.12482,0.86685,0.85024,0.90324,0.74967,0.67495,0.717,1.21436,0.000130238,0.000130238,0.000130238
40,94272.4,0.55917,0.71149,1.12228,0.87599,0.83373,0.90265,0.74344,0.71123,0.7219,1.25439,0.000119823,0.000119823,0.000119823
